,from_node,to_node,weight,obj_at_once,weight_new,dist
0,table_empty,p,5.8,1,5.472879231624844,5.39834563766817
1,table_empty,c,5.8,1,6.478014765201803,5.39834563766817
2,table_empty,s,4.4,1,4.994733192202056,4.16227766016838
3,table_empty,t,5.2,1,4.271840559720501,5.0197648378370845
4,table_empty,n,5.2,1,4.630727268424611,5.0197648378370845
5,table_empty,pc,5.8,2,6.478014765201803,5.39834563766817
6,table_empty,ps,6.8,2,7.267790522725286,7.39834563766817
7,table_empty,pt,7.8,2,8.532177349220728,8.84161925296378
8,table_empty,pn,7.8,2,8.532177349220728,8.84161925296378
9,table_empty,cs,6.8,2,8.878014765201803,7.39834563766817
10,table_empty,ct,7.8,2,10.609943103556535,8.84161925296378
11,table_empty,cn,7.8,2,10.609943103556535,8.84161925296378
12,table_empty,st,5.8,2,6.726661530556787,5.60555127546399
13,table_empty,sn,5.8,2,6.726661530556787,5.60555127546399
14,table_empty,tn,5.2,2,4.630727268424611,5.0197648378370845
15,p,pc,6.8,1,7.58946638440411,6.324555320336759
16,p,ps,7.8,1,6.31114621836948,6.324555320336759
17,p,pt,7.6,1,7.102034058679311,7.211102550927978
18,p,pn,7.6,1,7.102034058679311,7.211102550927978
19,p,pcs,8.8,2,9.989466384404112,8.32455532033676
20,p,pct,10.2,2,11.721394722758843,9.76782893563237
21,p,pcn,10.2,2,11.721394722758843,9.76782893563237
22,p,pst,8.2,2,7.593656251315063,7.7678289356323695
23,p,psn,8.2,2,7.593656251315063,7.7678289356323695
24,p,ptn,7.6,2,7.102034058679311,7.211102550927978
25,c,cs,6.8,1,7.58946638440411,6.324555320336759
26,c,ct,7.6,1,8.653323061113573,7.211102550927978
27,c,pc,6.8,1,7.58946638440411,6.324555320336759
28,c,cn,7.6,1,8.653323061113573,7.211102550927978
29,c,pcs,8.8,2,9.989466384404112,8.32455532033676
30,c,pct,10.2,2,11.721394722758843,9.76782893563237
31,c,pcn,10.2,2,11.721394722758843,9.76782893563237
32,c,cst,8.2,2,9.321394722758843,7.7678289356323695
33,c,csn,8.2,2,9.321394722758843,7.7678289356323695
34,c,ctn,7.6,2,8.653323061113573,7.211102550927978
35,s,st,7.6,1,8.653323061113573,7.211102550927978
36,s,ps,6.8,1,6.31114621836948,6.324555320336759
37,s,cs,6.8,1,7.58946638440411,6.324555320336759
38,s,sn,7.6,1,8.653323061113573,7.211102550927978
39,s,pcs,6.8,2,7.58946638440411,6.324555320336759
40,s,pst,10.2,2,9.332531978033716,9.76782893563237
41,s,psn,10.2,2,9.332531978033716,9.76782893563237
42,s,cst,10.2,2,11.721394722758843,9.76782893563237
43,s,csn,10.2,2,11.721394722758843,9.76782893563237
44,s,stn,7.6,2,8.653323061113573,7.211102550927978
45,t,tn,7.6,1,6.53283347900688,7.211102550927978
46,t,pt,6.8,1,6.31114621836948,6.324555320336759
47,t,ct,6.8,1,7.58946638440411,6.324555320336759
48,t,st,6.8,1,7.58946638440411,6.324555320336759
49,t,pct,6.8,2,7.58946638440411,6.324555320336759
50,t,pst,8.2,2,8.081764394193717,8.32455532033676
51,t,ptn,10.2,2,9.332531978033716,9.76782893563237
52,t,cst,8.8,2,9.989466384404112,8.32455532033676
53,t,stn,8.2,2,9.321394722758843,7.7678289356323695
54,t,ctn,10.2,2,11.721394722758843,9.76782893563237
55,n,pn,6.8,1,6.31114621836948,6.324555320336759
56,n,cn,6.8,1,7.58946638440411,6.324555320336759
57,n,sn,6.8,1,7.58946638440411,6.324555320336759
58,n,tn,7.6,1,6.53283347900688,7.211102550927978
59,n,pcn,6.8,2,7.58946638440411,6.324555320336759
60,n,psn,8.8,2,8.081764394193717,8.32455532033676
61,n,ptn,10.2,2,9.332531978033716,9.76782893563237
62,n,csn,8.8,2,9.989466384404112,8.32455532033676
63,n,stn,8.2,2,9.321394722758843,7.7678289356323695
64,n,ctn,10.2,2,11.721394722758843,9.76782893563237
65,pcs,pcst,7.6,1,8.653323061113573,7.211102550927978
66,pcs,pcsn,7.6,1,8.653323061113573,7.211102550927978
67,pct,pcst,6.8,1,7.58946638440411,6.324555320336759
68,pct,pctn,7.6,1,8.653323061113573,7.211102550927978
69,pcn,pcsn,6.8,1,7.58946638440411,6.324555320336759
70,pcn,pctn,7.6,1,8.653323061113573,7.211102550927978
71,pst,pcst,6.8,1,7.58946638440411,6.324555320336759
72,pst,pstn,7.6,1,7.102034058679311,7.211102550927978
73,psn,pcsn,6.8,1,7.58946638440411,6.324555320336759
74,psn,pstn,7.6,1,7.102034058679311,7.211102550927978
75,ptn,pctn,6.8,1,7.58946638440411,6.324555320336759
76,ptn,pstn,6.8,1,6.31114621836948,6.324555320336759
77,cst,pcst,6.8,1,7.58946638440411,6.324555320336759
78,cst,cstn,7.6,1,8.653323061113573,7.211102550927978
79,csn,pcsn,6.8,1,7.58946638440411,6.324555320336759
80,csn,cstn,7.6,1,8.653323061113573,7.211102550927978
81,stn,cstn,6.8,1,7.58946638440411,6.324555320336759
82,stn,pstn,6.8,1,6.31114621836948,6.324555320336759
83,ctn,cstn,6.8,1,7.58946638440411,6.324555320336759
84,ctn,pctn,6.8,1,7.58946638440411,6.324555320336759
85,pc,pcst,8.2,2,9.321394722758843,7.7678289356323695
86,pc,pcsn,8.2,2,9.321394722758843,7.7678289356323695
87,pc,pctn,7.6,2,8.653323061113573,7.211102550927978
88,ps,pcst,10.2,2,11.721394722758843,9.76782893563237
89,ps,pcsn,10.2,2,11.721394722758843,9.76782893563237
90,ps,pstn,6.8,2,7.102034058679311,7.211102550927978
91,pt,pcst,8.8,2,9.989466384404112,8.32455532033676
92,pt,pctn,10.2,2,11.721394722758843,9.76782893563237
93,pt,pstn,8.2,2,7.593656251315063,7.7678289356323695
94,pn,pcsn,8.8,2,9.989466384404112,8.32455532033676
95,pn,pctn,10.2,2,11.721394722758843,9.76782893563237
96,pn,pstn,8.2,2,7.593656251315063,7.7678289356323695
97,cs,pcst,10.2,2,11.721394722758843,9.76782893563237
98,cs,pcsn,10.2,2,11.721394722758843,9.76782893563237
99,cs,cstn,7.6,2,8.653323061113573,7.211102550927978
100,ct,pcst,8.8,2,9.989466384404112,8.32455532033676
101,ct,cstn,8.2,2,9.321394722758843,7.7678289356323695
102,ct,pctn,10.2,2,11.721394722758843,9.76782893563237
103,cn,pcsn,8.8,2,9.989466384404112,8.32455532033676
104,cn,cstn,8.2,2,9.321394722758843,7.7678289356323695
105,cn,pctn,10.2,2,11.721394722758843,9.76782893563237
106,st,pcst,6.8,2,7.58946638440411,6.324555320336759
107,st,cstn,10.2,2,11.721394722758843,9.76782893563237
108,st,pstn,10.2,2,9.332531978033716,9.76782893563237
109,sn,pcsn,6.8,2,7.58946638440411,6.324555320336759
110,sn,cstn,10.2,2,11.721394722758843,9.76782893563237
111,sn,pstn,10.2,2,9.332531978033716,9.76782893563237
112,tn,cstn,10.2,2,9.989466384404112,8.32455532033676
113,tn,pctn,6.8,2,7.58946638440411,6.324555320336759
114,tn,pstn,8.8,2,8.081764394193717,8.32455532033676
115,pc,pcs,6.8,1,7.58946638440411,6.324555320336759
